Country,Year,PM25
ES,2018,32.35212023617821
ES,2019,36.493269929801755
ES,2020,31.034667724270548
ES,2021,34.221755312658004
ET,2017,68.04787234042553
ET,2018,80.51898734177215
ET,2019,61.526588192739695
ET,2020,69.43652232040724
ET,2021,71.5337592571077
FI,2015,26.14543524416136
FI,2016,30.082079343365255
FI,2017,24.43617021276596
FI,2018,27.12142857142857
FI,2019,21.492315316877104
FI,2020,19.763007574163687
FI,2021,21.258023541366754
FR,2015,49.671268902038136
FR,2016,43.48706610656644
FR,2017,50.18830169317599
FR,2018,42.78968161747618
FR,2019,38.53594098314549
FR,2020,34.17646842118079
FR,2021,36.131226078697956
GB,2015,40.50232846941943
GB,2016,37.85622661678247
GB,2017,42.46366318047734
GB,2018,42.31160252728317
GB,2019,35.862531895333525
GB,2020,29.676983856088118
GB,2021,32.70839131379005
GE,2019,94.26470588235294
GE,2020,72.18156020122254
GE,2021,68.50765306122449
GH,2020,64.90242346938776
GH,2021,77.24901161674347
GN,2020,62.67938319388148
GN,2021,90.93477661334805
GR,2019,74.60606060606061
GR,2020,48.42723466900736
GR,2021,52.70652871754385
GT,2019,48.59375
GT,2020,59.16639720977977
GT,2021,55.63057900432901
HK,2015,80.17460317460318
HK,2016,68.81182795698925
HK,2017,73.48677248677248
HK,2018,70.14835164835165
HK,2019,65.85204081632654
HK,2020,52.44642857142857
HK,2021,55.13520408163265
HR,2015,39.967532467532465
HR,2016,39.8
HR,2017,42.73717948717949
HR,2018,44.103658536585364
HR,2019,36.05969551282051
HR,2020,34.786317752907614
HR,2021,47.314862542955325
HU,2015,45.38095238095238
HU,2017,61.77272727272727
HU,2018,55.08754208754209
HU,2019,48.1695352109116
HU,2020,50.25803871932389
HU,2021,55.78022100428188
ID,2016,109.54838709677419
ID,2017,81.92934782608695
ID,2018,96.76243093922652
ID,2019,118.14849119134834
ID,2020,99.68910102233822
ID,2021,83.57397959183673
IE,2018,41.49473684210526
IE,2019,36.07514484627605
IE,2020,25.010087403283606
IE,2021,27.39825555046703
IL,2015,65.12088752869165
IL,2016,63.21378776142525
IL,2017,60.96799307958477
IL,2018,68.69391159299416
IL,2019,63.09302456024248
IL,2020,57.654462459168144
IL,2021,58.17369908473732
IN,2015,137.78990348923534
IN,2016,147.939672801636
IN,2017,143.679880329095
IN,2018,139.78710644677662
IN,2019,123.56928119352004
IN,2020,106.73477201741777
IN,2021,113.6287295561515
IQ,2019,92.45382574082265
IQ,2020,99.96927857213947
IQ,2021,118.23352022668354
IR,2015,78.53691275167785
IR,2016,72.19251336898395
IR,2017,94.08620689655173
IR,2018,77.71059431524547
IR,2019,38.208663118699306
IR,2020,70.88640167078327
IR,2021,73.26717118051945
IS,2016,21.344086021505376
IS,2017,18.333333333333332
IS,2018,15.598901098901099
IS,2019,16.100292364136667
IS,2020,21.04306435217765
IS,2021,16.613029827315543
IT,2015,74.00967519004837
IT,2016,67.36071184120465
IT,2017,70.10391730141458
IT,2018,62.06686332350049
IT,2019,54.734393245192024
IT,2020,54.48216939066914
IT,2021,51.46232778152378
JO,2021,93.3
JP,2015,52.38681900976983
JP,2016,48.21765879614234
JP,2017,45.76382411725516
JP,2018,45.409419044345135
JP,2019,41.24047393349986
JP,2020,37.13190768431945
JP,2021,35.17842507960454
KG,2019,85.9455716557957
KG,2020,61.96983760948764
KG,2021,74.9538533807697
KR,2015,82.21933471933473
KR,2016,81.64285714285714
KR,2017,80.9722073757349
KR,2018,77.91071428571429
KR,2019,69.36074391220315
KR,2020,59.83136334973213
KR,2021,56.74068877551021
KW,2017,99.98255813953489
KW,2018,114.49723756906077
KW,2019,112.74937450635684
KW,2020,107.06688110026619
KW,2021,103.15962748735858
KZ,2018,63.666666666666664
KZ,2019,59.65016603893865
KZ,2020,59.31177537328052
KZ,2021,65.77800396654203
LA,2019,93.70414605236033
LA,2020,69.91006981740065
LA,2021,65.48977901948956
LK,2018,90.49019607843137
LK,2019,68.71673815359478
LK,2020,57.70679209183673
LK,2021,49.99835095328454
LT,2015,49.41614906832298
LT,2016,31.61764705882353
LT,2018,46.153284671532845
LT,2019,46.962689472952306
LT,2020,37.65832299156507
LT,2021,40.18066937810153
MK,2015,69.7012987012987
MK,2016,81.13829787234043
MK,2017,100.71957671957672
MK,2018,78.64285714285714
MK,2019,85.24804895432973
MK,2020,79.29801587301587
MK,2021,74.16015971606033
ML,2019,153.75
ML,2020,114.69806202219766
ML,2021,141.8976580796253
MM,2019,49.40348182283666
MM,2020,65.52087062895333
MM,2021,64.86094600987275
MN,2015,125.13829787234043
MN,2016,126.14516129032258
MN,2017,123.95767195767196
MN,2018,113.81111111111112
MN,2019,125.66444270015698
MN,2020,106.01275510204081
MN,2021,100.92372448979592
MO,2015,85.06349206349206
MO,2016,80.1989247311828
MO,2017,77.71808510638297
MO,2018,65.86440677966101
MO,2019,64.11626698424728
MO,2020,56.493855606758835
MO,2021,54.61224489795918
MX,2015,79.1264367816092
MX,2016,66.89041095890411
MX,2017,85.24178047546788
MX,2018,66.00419507079182
MX,2019,58.09796034200324
MX,2020,61.21297973274424
MX,2021,69.9273870450435
NL,2015,47.401934443847395
NL,2016,40.98201263976665
NL,2017,45.95449844881075
NL,2018,49.26280737704918
NL,2019,38.906149257259955
NL,2020,34.766717829192956
NL,2021,39.36415641464008
NO,2015,28.755047106325705
NO,2016,30.406756756756756
NO,2017,26.39814814814815
NO,2018,30.73763736263736
NO,2019,24.844534929356357
NO,2020,21.207908163265305
NO,2021,24.92584804191947
NP,2017,131.70731707317074
NP,2018,137.82954545454547
NP,2019,83.23031500634147
NP,2020,92.27663416210761
NP,2021,94.6586621304632
NZ,2016,22.403225806451612
NZ,2017,26.540925266903916
NZ,2018,24.208791208791208
NZ,2019,31.606520111397465
NZ,2020,25.716395980291225
NZ,2021,24.81007170909601
PE,2015,76.16923076923077
